"","lon","lat","lon.ind","lat.ind","ind","elev","airpr","year","abs","variable","value","absorp","fitcomp"
"115",-106.3125,40.4375,22,28,158,2766,72.2200225422812,"1999",3,"fec",3.51486945126672,"wing absorptivity= 0.5","flight activity time (hr)"
"116",-106.1875,40.4375,23,28,159,2657,73.2210083438931,"1999",3,"fec",3.57657973980349,"wing absorptivity= 0.5","flight activity time (hr)"
"117",-106.0625,40.4375,24,28,160,2933,70.707919134424,"1999",3,"fec",3.30831270417819,"wing absorptivity= 0.5","flight activity time (hr)"
"118",-105.9375,40.4375,25,28,161,3119,69.0540627602681,"1999",3,"fec",0.77140212013083,"wing absorptivity= 0.5","flight activity time (hr)"
"120",-105.4375,40.4375,29,28,165,2480,74.8703749358312,"1999",3,"fec",5.19540960264086,"wing absorptivity= 0.5","flight activity time (hr)"
"121",-105.3125,40.4375,30,28,166,2072,78.787103406119,"1999",3,"fec",5.05715744506456,"wing absorptivity= 0.5","flight activity time (hr)"
"122",-105.1875,40.4375,31,28,167,1710,82.3996234743043,"1999",3,"fec",5.33851736877909,"wing absorptivity= 0.5","flight activity time (hr)"
"123",-105.0625,40.4375,32,28,168,1517,84.3797457881545,"1999",3,"fec",3.71653311461272,"wing absorptivity= 0.5","flight activity time (hr)"
"124",-104.9375,40.4375,33,28,169,1499,84.5663671363789,"1999",3,"fec",3.93648032705985,"wing absorptivity= 0.5","flight activity time (hr)"
"125",-108.8125,40.3125,2,27,172,2044,79.06186383645,"1999",3,"fec",5.45804365581879,"wing absorptivity= 0.5","flight activity time (hr)"
"126",-108.6875,40.3125,3,27,173,1941,80.0792748062367,"1999",3,"fec",5.26266657611291,"wing absorptivity= 0.5","flight activity time (hr)"
"127",-108.5625,40.3125,4,27,174,1775,81.7412785832043,"1999",3,"fec",4.08179445125755,"wing absorptivity= 0.5","flight activity time (hr)"
"128",-108.4375,40.3125,5,27,175,1796,81.5294952556914,"1999",3,"fec",4.16505221035189,"wing absorptivity= 0.5","flight activity time (hr)"
"129",-108.3125,40.3125,6,27,176,1854,80.9468770303664,"1999",3,"fec",4.72660418600512,"wing absorptivity= 0.5","flight activity time (hr)"
"130",-108.1875,40.3125,7,27,177,2066,78.8459154514009,"1999",3,"fec",5.31218345312475,"wing absorptivity= 0.5","flight activity time (hr)"
"131",-108.0625,40.3125,8,27,178,2330,76.2915772693563,"1999",3,"fec",5.36148729822933,"wing absorptivity= 0.5","flight activity time (hr)"
"132",-107.9375,40.3125,9,27,179,2254,77.0199451403845,"1999",3,"fec",5.38662802564142,"wing absorptivity= 0.5","flight activity time (hr)"
"133",-107.8125,40.3125,10,27,180,2034,79.1601803833865,"1999",3,"fec",5.42896222553549,"wing absorptivity= 0.5","flight activity time (hr)"
"134",-107.6875,40.3125,11,27,181,2008,79.4162668006573,"1999",3,"fec",5.55009391059058,"wing absorptivity= 0.5","flight activity time (hr)"
"135",-107.5625,40.3125,12,27,182,2315,76.4348904678815,"1999",3,"fec",5.41424790928626,"wing absorptivity= 0.5","flight activity time (hr)"
"139",-107.0625,40.3125,16,27,186,2396,75.6635815981012,"1999",3,"fec",5.45414304717777,"wing absorptivity= 0.5","flight activity time (hr)"
"140",-106.9375,40.3125,17,27,187,2375,75.8629426250947,"1999",3,"fec",5.37987643158763,"wing absorptivity= 0.5","flight activity time (hr)"
"143",-106.5625,40.3125,20,27,190,2527,74.4295033419282,"1999",3,"fec",3.97385378442519,"wing absorptivity= 0.5","flight activity time (hr)"
"144",-106.4375,40.3125,21,27,191,2580,73.934874491616,"1999",3,"fec",3.72850910712182,"wing absorptivity= 0.5","flight activity time (hr)"
"151",-105.4375,40.3125,29,27,199,2597,73.7767849943359,"1999",3,"fec",5.15955648129766,"wing absorptivity= 0.5","flight activity time (hr)"
"152",-105.3125,40.3125,30,27,200,1896,80.5270893591538,"1999",3,"fec",5.60514759288427,"wing absorptivity= 0.5","flight activity time (hr)"
"153",-105.1875,40.3125,31,27,201,1704,82.4606095686728,"1999",3,"fec",4.80935947184485,"wing absorptivity= 0.5","flight activity time (hr)"
"154",-105.0625,40.3125,32,27,202,1528,84.2658636733115,"1999",3,"fec",3.65541407894586,"wing absorptivity= 0.5","flight activity time (hr)"
"155",-104.9375,40.3125,33,27,203,1511,84.4419158128505,"1999",3,"fec",3.84298056162027,"wing absorptivity= 0.5","flight activity time (hr)"
"156",-108.8125,40.1875,2,26,206,1816,81.3282101401388,"1999",3,"fec",3.91429820712767,"wing absorptivity= 0.5","flight activity time (hr)"
"157",-108.6875,40.1875,3,26,207,1717,82.3285191964221,"1999",3,"fec",3.84210786458584,"wing absorptivity= 0.5","flight activity time (hr)"
"158",-108.5625,40.1875,4,26,208,1733,82.1661816863144,"1999",3,"fec",4.04937819951624,"wing absorptivity= 0.5","flight activity time (hr)"
"159",-108.4375,40.1875,5,26,209,1770,81.7917687837618,"1999",3,"fec",4.49550513307549,"wing absorptivity= 0.5","flight activity time (hr)"
"160",-108.3125,40.1875,6,26,210,1815,81.3382648294187,"1999",3,"fec",4.1569522675352,"wing absorptivity= 0.5","flight activity time (hr)"
"161",-108.1875,40.1875,7,26,211,1939,80.0991347587775,"1999",3,"fec",4.92277465482313,"wing absorptivity= 0.5","flight activity time (hr)"
"164",-107.8125,40.1875,10,26,214,2295,76.6263137532547,"1999",3,"fec",5.21689437056448,"wing absorptivity= 0.5","flight activity time (hr)"
"168",-107.3125,40.1875,14,26,218,2645,73.3318915593637,"1999",3,"fec",4.49700828586687,"wing absorptivity= 0.5","flight activity time (hr)"
"169",-107.1875,40.1875,15,26,219,2711,72.7237125929296,"1999",3,"fec",4.59550601723278,"wing absorptivity= 0.5","flight activity time (hr)"
"170",-107.0625,40.1875,16,26,220,2584,73.8976523086033,"1999",3,"fec",3.80308917545311,"wing absorptivity= 0.5","flight activity time (hr)"
"171",-106.9375,40.1875,17,26,221,2380,75.8154371794533,"1999",3,"fec",4.48048995931705,"wing absorptivity= 0.5","flight activity time (hr)"
"173",-106.6875,40.1875,19,26,223,2922,70.8067232183166,"1999",3,"fec",3.14729710546454,"wing absorptivity= 0.5","flight activity time (hr)"
"174",-106.5625,40.1875,20,26,224,2702,72.8064047377577,"1999",3,"fec",3.32096490944681,"wing absorptivity= 0.5","flight activity time (hr)"
"176",-106.3125,40.1875,22,26,226,2670,73.1010381057842,"1999",3,"fec",4.37588875962919,"wing absorptivity= 0.5","flight activity time (hr)"
"177",-106.1875,40.1875,23,26,227,2730,72.5493900225851,"1999",3,"fec",2.85466721466886,"wing absorptivity= 0.5","flight activity time (hr)"
"178",-106.0625,40.1875,24,26,228,2845,71.501486676406,"1999",3,"fec",2.84005119267469,"wing absorptivity= 0.5","flight activity time (hr)"
"180",-105.8125,40.1875,26,26,230,2892,71.0767572522089,"1999",3,"fec",3.35749345409894,"wing absorptivity= 0.5","flight activity time (hr)"
"181",-105.5625,40.1875,28,26,232,2799,71.9191670075063,"1999",3,"fec",1.91832027325678,"wing absorptivity= 0.5","flight activity time (hr)"
"183",-105.3125,40.1875,30,26,234,1831,81.1775105329947,"1999",3,"fec",5.31905241941212,"wing absorptivity= 0.5","flight activity time (hr)"
"184",-105.1875,40.1875,31,26,235,1617,83.3490230773862,"1999",3,"fec",4.14102287927683,"wing absorptivity= 0.5","flight activity time (hr)"
"185",-105.0625,40.1875,32,26,236,1538,84.1624425077211,"1999",3,"fec",3.88277941446186,"wing absorptivity= 0.5","flight activity time (hr)"
"186",-104.9375,40.1875,33,26,237,1495,84.6078838993897,"1999",3,"fec",3.54983529360598,"wing absorptivity= 0.5","flight activity time (hr)"
"187",-108.8125,40.0625,2,25,240,1721,82.2879104926312,"1999",3,"fec",3.03547624479553,"wing absorptivity= 0.5","flight activity time (hr)"
"188",-108.6875,40.0625,3,25,241,1878,80.7067819630226,"1999",3,"fec",3.56907268768921,"wing absorptivity= 0.5","flight activity time (hr)"
"189",-108.5625,40.0625,4,25,242,2296,76.6167333789133,"1999",3,"fec",4.92409785830228,"wing absorptivity= 0.5","flight activity time (hr)"
"190",-108.4375,40.0625,5,25,243,2074,78.7675072867324,"1999",3,"fec",4.67886580781295,"wing absorptivity= 0.5","flight activity time (hr)"
"191",-108.3125,40.0625,6,25,244,1934,80.1488020891535,"1999",3,"fec",4.47774442892355,"wing absorptivity= 0.5","flight activity time (hr)"
"192",-108.1875,40.0625,7,25,245,1941,80.0792748062367,"1999",3,"fec",4.43021275118794,"wing absorptivity= 0.5","flight activity time (hr)"
"193",-108.0625,40.0625,8,25,246,1929,80.1984943543652,"1999",3,"fec",5.21320557906435,"wing absorptivity= 0.5","flight activity time (hr)"
"194",-107.9375,40.0625,9,25,247,1972,79.7719550559628,"1999",3,"fec",5.47184405396469,"wing absorptivity= 0.5","flight activity time (hr)"
"197",-107.5625,40.0625,12,25,250,2511,74.579350636263,"1999",3,"fec",4.98102953567814,"wing absorptivity= 0.5","flight activity time (hr)"
"199",-107.3125,40.0625,14,25,252,2926,70.7707815340021,"1999",3,"fec",2.76469233432079,"wing absorptivity= 0.5","flight activity time (hr)"
"200",-107.0625,40.0625,16,25,254,3135,68.9132718227277,"1999",3,"fec",2.22404994610437,"wing absorptivity= 0.5","flight activity time (hr)"
"201",-106.9375,40.0625,17,25,255,2810,71.8191076604143,"1999",3,"fec",4.50214951022676,"wing absorptivity= 0.5","flight activity time (hr)"
"204",-106.5625,40.0625,20,25,258,2836,71.5830517914504,"1999",3,"fec",3.0702983239902,"wing absorptivity= 0.5","flight activity time (hr)"
"205",-106.4375,40.0625,21,25,259,2538,74.3266248191384,"1999",3,"fec",4.54190356761382,"wing absorptivity= 0.5","flight activity time (hr)"
"206",-106.3125,40.0625,22,25,260,2327,76.3202224881209,"1999",3,"fec",4.63915426936905,"wing absorptivity= 0.5","flight activity time (hr)"
"207",-106.1875,40.0625,23,25,261,2385,75.767955824699,"1999",3,"fec",4.60589245245866,"wing absorptivity= 0.5","flight activity time (hr)"
"210",-105.8125,40.0625,26,25,264,2923,70.797736411889,"1999",3,"fec",2.70368428940552,"wing absorptivity= 0.5","flight activity time (hr)"
"211",-105.5625,40.0625,28,25,266,3024,69.8948140481919,"1999",3,"fec",0.847716974376444,"wing absorptivity= 0.5","flight activity time (hr)"
"213",-105.3125,40.0625,30,25,268,1781,81.6807236592673,"1999",3,"fec",4.30557233492124,"wing absorptivity= 0.5","flight activity time (hr)"
