study,publication_year,species,genus,life_form,Strategy,m1i,sd1i,n1i,m2i,sd2i,n2i,fitness,level,treat,treatment,year,location,absolute_latitude,elevation(m),climate ,habitat,source
Thurig,2003,Ranunculus_bulbosus,Ranunculus,forb,perennial,9,11.3137085,8,18,16.97056275,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Lotus_corniculatus,Lotus,forb,perennial,42,59.39696962,8,12,16.97056275,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Medicago_lupulina,Medicago,forb,perennial,492,427.0924958,8,1109,1547.149637,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Trifolium_medium,Trifolium,forb,perennial,2,2.828427125,8,27,50.91168825,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Trifolium_montanum,Trifolium,forb,perennial,214,308.2985566,8,60,82.02438662,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Trifolium_pratense,Trifolium,forb,perennial,48,53.74011537,8,8,11.3137085,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Totland,1999,Ranunculus_acris,Ranunculus,forb,perennial,15.5583599,4.293911255,11,12.38803989,4.235613361,11,seeds,individual,passive_warming,passive_warming,1994,Norway,60.11666,1500,alpine,tundra,Fig3
Totland,1997,Leontodon_autumnalis_var._taraxaci,Leontodon,forb,perennial,11.7,8.8,19,5.1,6,18,seeds,individual,passive_warming,passive_warming,1994,Norway,60.1166667,1500,alpine,meadow,Table1
Totland and Alatalo,2002,Ranunculus_glacialis,Ranunculus,forb,perennial,40.7239819,18.93458365,19,57.8280543,29.58528695,19,seeds,individual,passive_warming,passive_warming,1995,Norway,60.6,1450,alpine,tundra,Fig1
Totland and Nylehn,1998,Bistorta_vivipara,Bistorta,forb,perennial,5.28,4.43,10,3.15,2.29,10,flowers,individual,passive_warming,passive_warming,1994,Norway,60.6,1500,alpine,meadow,Table5
Way,2010,Pinus_taeda,Pinus,tree,perennial,47.5,15.93486743,3,24.16642299,27.6,36,seeds,plot,CO2,CO2,1999,USA,35.97,163,temperate,forest,Table1
Wookey,1995,Dryas_octopetala_ssp._octopetala,Dryas,shrub,perennial,995,418.862746,6,1472,541.3372332,6,seeds,plot,passive_warming,passive_warming,1991,Norway,78.9353,22,Arctic,semi-desert,Table2
Xu,2009,Daphne_retusa,Daphne,shrub,perennial,13.8,4.4,28,15.4,3.7,31,fruits,individual,passive_warming,passive_warming,2007,Tibet,32.983333,3240,subalpine,shrubland,Table3
Xu,2009,Spiraea_mongolica,Spiraea,shrub,perennial,749,331.2,31,903.2,302.3,35,fruits,individual,passive_warming,passive_warming,2007,Tibet,32.983333,3240,subalpine,shrubland,Table3
Xu,2009,Potentilla_fruticosa,Potentilla,shrub,perennial,21.8,5.6,33,23.8,4.9,30,fruits,individual,passive_warming,passive_warming,2007,Tibet,32.983333,3240,subalpine,shrubland,Table3
Xu,2009,Lonicera_hispida,Lonicera,shrub,perennial,10.5,3.4,32,11.6,3,35,fruits,individual,passive_warming,passive_warming,2007,Tibet,32.983333,3240,subalpine,shrubland,Table3
Klady,2011,Festuca_brachyphylla,Festuca,graminoid,perennial,0.023,0.006,26,0.015,0.004,26,flower,individual,passive_warming,passive_warming,2004,Canada,78.8833333,NA,arctic ,tundra,Table3
Klady,2011,Dryas_integrifolia,Dryas,shrub,perennial,0.02425,0.009919824,104,0.029,0.009234801,104,flower,individual,passive_warming,passive_warming,2004,Canada,78.8833333,NA,arctic ,tundra,Table3
Klady,2011,Luzula_spp.,Luzula,graminoid,perennial,0.037333333,0.019868834,78,0.027,0.016424562,78,flower,individual,passive_warming,passive_warming,2004,Canada,78.8833333,NA,arctic ,tundra,Table3
